symbol,token_address,coingecko_id,always_watch,exchange,borsa
ALINK,0xa64bd6c70cb9051f6a9ba1f163fdc07e0dfb5f84,aave-link-v1,False,"binance,gate",binance
AMANA,0xa685a61171bb30d4072b338c80cb7b2c865c873e,aave-mana,False,"binance,gate",binance
AMANA,0x6fce4a401b6b80ace52baaefe4421bd188e76f6f,aave-mana-v1,False,"binance,gate",binance
AMKR,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,aave-mkr,False,"binance,gate",binance
AMKR,0x7deb5e830be29f91e298ba5ff1356bb7f8146998,aave-mkr-v1,False,"binance,gate",binance
ARAI,0xc9bc48c72154ef3e5425641a3c747242112a46af,aave-rai,False,"binance,gate",binance
AREN,0xcc12abe4ff81c9378d670de1b57f8e0dd228d77a,aave-ren,False,"binance,gate",binance
AREN,0x69948cc03f478b95283f7dbf1ce764d0fc7ec54c,aave-ren-v1,False,"binance,gate",binance
ASNX,0x35f6b052c598d933d69a4eec4d04c73a191fe6c2,aave-snx,False,"binance,gate",binance
ASNX,0x328c4c80bc7aca0834db37e6600a6c49e12da4de,aave-snx-v1,False,"binance,gate",binance
STKGHO,0x1a88df1cfe15af22b3c4c783d4e6f7f9e0c1885d,aave-stkgho,False,"binance,gate",binance
ASUSD,0x6c5024cd4f8a59110119c56f8933403a539555eb,aave-susd,False,"binance,gate",binance
ASUSD,0x625ae63000f46200499120b906716420bd059240,aave-susd-v1,False,"binance,gate",binance
ATUSD,0x101cc05f4a51c0319f570d5e146a8c625198e636,aave-tusd,False,"binance,gate",binance
ATUSD,0x4da9b813057d04baef4e5800e36083717b4a0341,aave-tusd-v1,False,"binance,gate",binance
AUNI,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,aave-uni,False,"binance,gate",binance
AUSDC,0xbcca60bb61934080951369a648fb03df4f96263c,aave-usdc,False,"binance,gate",binance
AUSDC,0x9ba00d6856a4edf4665bca2c2309936572473b7e,aave-usdc-v1,False,"binance,gate",binance
AUSDT,0x3ed3b47dd13ec9a98b44e6204a523e766b225811,aave-usdt,False,"binance,gate",binance
AUSDT,0x71fc860f7d3a592a4a98740e39db31d25db65ae8,aave-usdt-v1,False,"binance,gate",binance
A1INCH,0x71aef7b30728b9bb371578f36c5a1f1502a5723e,aave-v3-1inch,False,"binance,gate",binance
AAAVE,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,aave-v3-aave,False,"binance,gate",binance
ABAL,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,aave-v3-bal,False,"binance,gate",binance
ACBETH,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,aave-v3-cbeth,False,"binance,gate",binance
ACRV,0x7b95ec873268a6bfc6427e7a28e396db9d0ebc65,aave-v3-crv,False,"binance,gate",binance
ADAI,0x018008bfb33d285247a21d44e50697654f754e63,aave-v3-dai,False,"binance,gate",binance
AENS,0x545bd6c032efdde65a377a6719def2796c8e0f2e,aave-v3-ens,False,"binance,gate",binance
AFRAX,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,aave-v3-frax,False,"binance,gate",binance
